timestamp,event_type,token,raw_log_line
"2026-09-07 17:53:55,757",CACHE,,"2026-09-07 17:53:55,757 INFO V4 cache loaded: 5 pools, 4 routes (56s old)"
"2026-09-07 17:53:55,757",OTHER,,"2026-09-07 17:53:55,757 INFO =================================================="
"2026-09-07 17:53:55,758",CONFIG_BANNER,,"2026-09-07 17:53:55,758 INFO ROTATION ENGINE v6.0 — V4 INTEGRATION + MULTI-QUOTE + FIXED HONEYPOT (V4 Universal Router + Permit2 + QuoterV2 honeypot fix)"
"2026-09-07 17:53:55,758",CONFIG_SETTINGS,,"2026-09-07 17:53:55,758 INFO Enter: 5m +15%–+80% | Exit: momentum/sellers/trail(3-7%)/SL(-5%)"
"2026-09-07 17:53:57,570",CONFIG_WALLET,,"2026-09-07 17:53:57,570 INFO Wallet: 0xB3C1B3670aBBE92459cced7A875B92B8045b8eB2 | $232.72 ETH + ~$216 SPY | Target: $803"
"2026-09-07 17:53:57,570",OTHER,,"2026-09-07 17:53:57,570 INFO =================================================="
"2026-09-07 17:54:20,397",SCAN,,"2026-09-07 17:54:20,397 INFO Pumping candidates: 2"
"2026-09-07 17:54:20,397",PICK,BIDEN,"2026-09-07 17:54:20,397 INFO PICK (cached): BIDEN 5m=+27.7% route=v4usdg_99000_990"
"2026-09-07 17:54:20,397",OTHER,,"2026-09-07 17:54:20,397 INFO ⏱ PRE-ENTRY: Studying BIDEN momentum... (3 readings, 6s)"
"2026-09-07 17:54:23,414",MOMENTUM_READING,,"2026-09-07 17:54:23,414 INFO   Reading 2: 5m=+43.2% B/S=1282/1289 (0.99)"
"2026-09-07 17:54:26,432",MOMENTUM_READING,,"2026-09-07 17:54:26,432 INFO   Reading 3: 5m=+43.2% B/S=1282/1289 (0.99)"
"2026-09-07 17:54:26,432",MOMENTUM_VERIFIED,,"2026-09-07 17:54:26,432 INFO   ✅ Momentum VERIFIED: 27.7→43.2→43.2 — ENTERING"
